Personaje,Actor,Pelicula,Año_pelicula,Rol,tipo_personaje,rasgos_personalidad,Motivacion
Dr. Alan Grant,Sam Neill,Jurassic Park (1993),1993,Paleontologo,protagonista,Racional valiente protector reservado,Comprender la ciencia detrás de los dinosaurios y sobrevivir
Dr. Alan Grant,Sam Neill,Jurassic Park III (2001),2001,Paleontologo,protagonista,Racional valiente protector reservado,Comprender la ciencia detrás de los dinosaurios y sobrevivir
Dr. Alan Grant,Sam Neill,Dominion (2022),2022,Paleontologo,protagonista,Racional valiente protector reservado,Comprender la ciencia detrás de los dinosaurios y sobrevivir
Dr. Ellie Sattler,Laura Dern,Jurassic Park (1993),1993,Paleobotanica,protagonista,cientifica inteligente empatica decidida,Biologa apasionada proteger la vida y entender el ecosistema
Dr. Ellie Sattler,Laura Dern,Dominion (2022),2022,Paleobotanica,protagonista,cientifica inteligente empatica decidida,Biologa apasionada proteger la vida y entender el ecosistema
Dr. Ian Malcolm,Jeff Goldblum,Jurassic Park (1993),1993,Matemático (teoría del caos),protagonista,filosófico sarcastico,Cuestionar los límites de la ciencia y advertir sobre sus consecuencias
Dr. Ian Malcolm,Jeff Goldblum,Lost World (1997),1997,Matemático (teoría del caos),protagonista,filosófico sarcastico,Cuestionar los límites de la ciencia y advertir sobre sus consecuencias
Dr. Ian Malcolm,Jeff Goldblum,Dominion (2022),2022,Matemático (teoría del caos),protagonista,filosófico sarcastico,Cuestionar los límites de la ciencia y advertir sobre sus consecuencias
John Hammond,Richard Attenborough,Jurassic Park (1993),1993,Fundador de Jurassic Park,visionario/ empresario,idealista obsesionado paternal ingenuo,Crear un parque temático con dinosaurios reales
John Hammond,Richard Attenborough,Lost World (1997),1997,Fundador de Jurassic Park,visionario/ empresario,idealista obsesionado paternal ingenuo,Crear un parque temático con dinosaurios reales
Owen Grady,Chriss Pratt,Jurassic World (2015),2015,Entrenador de raptores,protagonista aventurero,valiente empatico protector pragmatico,Proteger a los dinosaurios y a las personas
Owen Grady,Chriss Pratt,Fallen Kingdom (2018),2018,Entrenador de raptores,protagonista aventurero,valiente empatico protector pragmatico,Proteger a los dinosaurios y a las personas
Owen Grady,Chriss Pratt,Dominion (2022),2022,Entrenador de raptores,protagonista aventurero,valiente empatico protector pragmatico,Proteger a los dinosaurios y a las personas
Claire Dearing,Bryce Dallas Howard,Jurassic World (2015),2015,Administradora del parque,protagonista lider,determinada racional compasiva transformadora,Redimirse y salvar a los dinosaurios
Claire Dearing,Bryce Dallas Howard,Fallen Kingdom (2018),2018,Administradora del parque,protagonista lider,determinada racional compasiva transformadora,Redimirse y salvar a los dinosaurios
Claire Dearing,Bryce Dallas Howard,Dominion (2022),2022,Administradora del parque,protagonista lider,determinada racional compasiva transformadora,Redimirse y salvar a los dinosaurios
Henry Wu,BD Wong,Jurassic Park (1993),1993,Genetista principal,antagonista moral,cientifico inteligente ambicioso,Lograr avances cientificos  sin considerar las consecuencias
Henry Wu,BD Wong,Jurassic World (2015),2015,Genetista principal,antagonista moral,cientifico inteligente ambicioso,Lograr avances cientificos  sin considerar las consecuencias
Henry Wu,BD Wong,Fallen Kingdom (2018),2018,Genetista principal,antagonista moral,cientifico inteligente ambicioso,Lograr avances cientificos  sin considerar las consecuencias
Henry Wu,BD Wong,Dominion (2022),2022,Genetista principal,antagonista moral,cientifico inteligente ambicioso,Lograr avances cientificos  sin considerar las consecuencias
Simon Masrani,Irrfan Khan,Dominion (2022),2022,CEO de InGen,visionario/ empresario,carismatico soñador ingenuo,Hacer realidad el sueño de Hammond de forma responsable
Zora Bennett,Scarlett Johansson, El Renacer (2025),2025,Líder de la expedición,Protagonista principal,Valiente decidida estratégica,Exagente encubierta cyua misión es recoger ADN de dinosaurios
Dr. Henry Loomis,Jonathan Bailey, El Renacer (2025),2025,Paleontólogo científico,Protagonista secundario,Inteligente curioso empático,Paleontólogo brillante que actúa como la voz de la razón
Duncan Kincaid,Mahershala Ali, El Renacer (2025),2025,Capitán del barco y aliado,Aliado principal,Protector leal fuerte,Capitán experimentado que guía al equipo por mares hostiles
Reuben Delgado,Manuel García-Rulfo, El Renacer (2025),2025,Padre de familia náufrago,Co-protagonista humano,Resiliente compasivo determinado,Padre que lucha por proteger a su familia tras naufragar en la isla
